name,latitude,longitude
معادى سيتى سنتر,29.992807,31.303014
النايل سيتى,30.07188,31.22855
مكرم عبيد,30.089173,31.3404
مطار القاهرة,30.111389,31.413889
سيتى ستارز 1,30.05661,31.330198
سان ستيفانو,31.24486,29.96484
سليمان أباظة,30.056982,31.200425
أسكندرية الصحراوى,30.06005,31.03103
سيتى ستارز 3,30.05661,31.330108
تيفولى,30.083307,31.341903
