name,latitude,longitude
Lemessos Germasoia,34.697019,33.092364
Larnaca Foinikoudes,34.914263,33.637516
Lemessos Enaerios,34.684913,33.059784
Lemessos,34.684456,33.052641
Kato Pafos,34.7564,32.417158
Shacolas Emporium Park,35.129978,33.369267
Themistokli,35.163176,33.358734
Lemessos Enaerios,34.680194,33.043254
Lydras,35.172365,33.3624
