name,latitude,longitude
Můstek,50.081491,14.426674
Palác Archa,50.089428,14.433669
Staroměstské náměstí,50.086542,14.420784
SC Chodov 1,50.032066,14.490989
Avion Park Zličín,50.049648,14.297604
Letiště Václava Havla,50.107517,14.267789
Metropole Zličín,50.054135,14.287911
Palladium,50.089183,14.428804
Malostranské náměstí,50.088021,14.404056
Palladium Kiosek,50.089183,14.428714
Muzeum,50.080095,14.430017
Dejvická,50.099617,14.396168
