name,latitude,longitude
كورنيش عين مريسة,33.90193,35.4846
سيتى مول,33.89692,35.56503
ميترو سوبر ستور,33.94447,35.717
اشرفية,33.88512,35.52057
فيردان,33.88608,35.48338
الزلقة,33.90059,35.5724
جالاكسى,33.85788,35.52694
ا.ب.س ضبية,33.92658,35.5877
سبينيز,33.87297,35.48907
حمراء,33.89554,35.48283
